ASV;0;91;1
AUV;1;29;0
AFV;2;88;0
AFV;3;30;1
ASV;4;18;1
ASV;5;43;1
AFV;6;0;0
ASV;7;83;1
ASV;8;67;0
AFV;9;7;1
AGV;10;89;0
AFV;11;25;0
AFV;12;14;1
ASV;13;18;1
AFV;14;93;0
AUV;15;70;0
ASV;16;45;1
AUV;17;53;0
AFV;18;82;1
AUV;19;98;0
AGV;20;42;1
ASV;21;78;0
AGV;22;98;0
AFV;23;42;0
AFV;24;67;0
AUV;25;11;0
AUV;26;17;1
AFV;27;78;1
AFV;28;5;0
AGV;29;6;0
ASV;30;37;1
AUV;31;70;1
ASV;32;18;0
ASV;33;42;0
AUV;34;3;1
AGV;35;78;1
AFV;36;36;1
AUV;37;32;0
AGV;38;93;0
ASV;39;12;1
AFV;40;5;1
AUV;41;63;1
AUV;42;92;1
AFV;43;69;0
ASV;44;71;0
AUV;45;10;0
ASV;46;16;1
AFV;47;12;0
AGV;48;69;1
ASV;49;30;0
AFV;50;17;0
ASV;51;48;1
AUV;52;41;0
AUV;53;86;0
AUV;54;31;0
AUV;55;41;1
AUV;56;83;0
AUV;57;82;0
AFV;58;65;1
ASV;59;82;1
ASV;60;90;1
AGV;61;12;1
AUV;62;58;0
ASV;63;54;0
AUV;64;57;0
AUV;65;22;0
AFV;66;62;1
ASV;67;19;0
ASV;68;71;0
AFV;69;8;1
AGV;70;64;0
AFV;71;57;1
ASV;72;44;1
AFV;73;55;1
ASV;74;19;1
ASV;75;50;0
AFV;76;96;0
AGV;77;88;0
ASV;78;62;0
AUV;79;47;0
AUV;80;34;1
AFV;81;30;1
AGV;82;89;1
AFV;83;17;1
ASV;84;54;1
ASV;85;93;0
AGV;86;53;1
AUV;87;47;1
ASV;88;16;0
ASV;89;73;0
ASV;90;92;1
ASV;91;11;0
AGV;92;77;0
AFV;93;89;1
AGV;94;42;0
AFV;95;67;0
ASV;96;72;0
ASV;97;41;1
AFV;98;75;1
AFV;99;30;1
AUV;100;48;0
AFV;101;94;0
AGV;102;13;0
AFV;103;93;0
AFV;104;71;0
ASV;105;28;0
AGV;106;52;1
AFV;107;28;0
ASV;108;54;0
AUV;109;50;0
AGV;110;96;1
AGV;111;23;0
AFV;112;30;1
AUV;113;25;1
AUV;114;17;1
AFV;115;58;1
AFV;116;58;0
AFV;117;93;1
AUV;118;56;0
ASV;119;20;1
ASV;120;23;1
AGV;121;93;1
AFV;122;57;1
AGV;123;29;1
ASV;124;50;1
ASV;125;27;0
AUV;126;68;0
AUV;127;8;0
ASV;128;41;1
AGV;129;87;0
ASV;130;90;1
AFV;131;53;1
AFV;132;27;1
AUV;133;76;1
AGV;134;67;1
AFV;135;89;0
AFV;136;36;0
ASV;137;72;0
ASV;138;38;0
ASV;139;26;0
ASV;140;76;1
AUV;141;56;1
AFV;142;54;0
AGV;143;67;1
ASV;144;51;1
ASV;145;68;1
AGV;146;13;0
AFV;147;65;0
AUV;148;18;0
ASV;149;8;0
ASV;150;54;1
AGV;151;22;0
AFV;152;65;1
AUV;153;81;0
AUV;154;78;0
AGV;155;18;0
AUV;156;21;1
AGV;157;25;1
ASV;158;25;0
AUV;159;25;0
ASV;160;12;0
AGV;161;85;1
AGV;162;70;1
AUV;163;79;0
AFV;164;53;0
AUV;165;19;1
AUV;166;72;1
AFV;167;54;0
ASV;168;25;1
AGV;169;5;0
ASV;170;56;1
AFV;171;98;0
AUV;172;97;0
AUV;173;79;0
AGV;174;72;0
AUV;175;89;1
AGV;176;44;1
AFV;177;94;1
AUV;178;90;1
ASV;179;45;1
AGV;180;47;0
AGV;181;67;1
AFV;182;48;1
AUV;183;76;1
ASV;184;36;0
ASV;185;95;0
AFV;186;92;0
AUV;187;32;1
AGV;188;61;0
ASV;189;39;0
AFV;190;22;1
AUV;191;34;0
AGV;192;99;0
ASV;193;53;0
AGV;194;95;1
AFV;195;68;1
ASV;196;27;1
ASV;197;14;0
ASV;198;11;1
AGV;199;57;0
AFV;200;48;1
AUV;201;61;1
AFV;202;99;0
AFV;203;27;1
AUV;204;1;1
AFV;205;21;0
ASV;206;92;1
ASV;207;85;1
AGV;208;87;0
AGV;209;1;0
AUV;210;53;0
AGV;211;15;0
AGV;212;66;1
ASV;213;89;0
AGV;214;18;1
AFV;215;42;0
AFV;216;65;0
AUV;217;100;1
AUV;218;66;1
AGV;219;46;1
AUV;220;43;1
AGV;221;4;1
AGV;222;6;0
AFV;223;85;0
AUV;224;71;0
ASV;225;5;0
AFV;226;53;1
AGV;227;38;0
AGV;228;41;1
AUV;229;40;0
ASV;230;91;1
ASV;231;31;0
ASV;232;88;1
AGV;233;56;1
AGV;234;82;1
AGV;235;79;1
AGV;236;75;0
AFV;237;19;1
AGV;238;52;0
ASV;239;71;0
